# path	bytes	sha256	url
2026-08-27-a9c09d7b/build.log.gz	50439	b854c0c7f90becc5d863458b9cea2146a8f1772c4a4ff32dad73da34960d1d78	https://raw.githubusercontent.com/maralcbr/omarchy-mx-mac/cf0606c65cce20f123eb37cf465eacdb6168862b/evidence/apple-silicon/2026-08-27-a9c09d7b/build.log.gz
2026-08-27-e732b2bc/build.log.gz	50725	d549f15af1458c35e55d68aff9883dd6d94c54d332e0c96ef6e037dbc3188345	https://raw.githubusercontent.com/maralcbr/omarchy-mx-mac/cf0606c65cce20f123eb37cf465eacdb6168862b/evidence/apple-silicon/2026-08-27-e732b2bc/build.log.gz
2026-08-29-m1-canary-2004/sequence-2004-state.tar.gz	22190080	bfe1e461dae4745255e82cf281786a2cd554a9c0846ff5a400a6404e46ea88e5	https://raw.githubusercontent.com/maralcbr/omarchy-mx-mac/cf0606c65cce20f123eb37cf465eacdb6168862b/evidence/apple-silicon/2026-08-29-m1-canary-2004/sequence-2004-state.tar.gz
